,,Annual_Total,Annual_Total,Annual_Mean,Annual_Mean
,,sum,mean,sum,mean
Region,Year,,,,
P3,2058,3164,263.6666666666667,197.75,16.479166666666668
P3,2059,1946,162.16666666666666,121.625,10.135416666666666
P3,2060,3236,269.6666666666667,202.25,16.854166666666668
P3,2061,3188,265.6666666666667,199.25,16.604166666666668
P3,2062,2086,173.83333333333334,130.375,10.864583333333334
P3,2063,3943,328.5833333333333,246.4375,20.536458333333332
P3,2064,2378,198.16666666666666,148.625,12.385416666666666
P3,2065,2924,243.66666666666666,182.75,15.229166666666666
P3,2066,2821,235.08333333333334,176.3125,14.692708333333334
P3,2067,3100,258.3333333333333,193.75,16.145833333333332
P3,2068,2493,207.75,155.8125,12.984375
P3,2069,2340,195.0,146.25,12.1875
P3,2070,3917,326.4166666666667,244.8125,20.401041666666668
P3,2071,4812,401.0,300.75,25.0625
P3,2072,1872,156.0,117.0,9.75
P3,2073,3821,318.4166666666667,238.8125,19.901041666666668
P3,2074,3172,264.3333333333333,198.25,16.520833333333332
P3,2075,3391,282.5833333333333,211.9375,17.661458333333332
P3,2076,1772,147.66666666666666,110.75,9.229166666666666
P3,2077,3001,250.08333333333334,187.5625,15.630208333333334
P3,2078,4445,370.4166666666667,277.8125,23.151041666666668
P3,2079,1529,127.41666666666667,95.5625,7.963541666666667
P3,2080,3106,258.8333333333333,194.125,16.177083333333332
P3,2081,4974,414.5,310.875,25.90625
P3,2082,2033,169.41666666666666,127.0625,10.588541666666666
P3,2083,4130,344.1666666666667,258.125,21.510416666666668
P3,2084,2706,225.5,169.125,14.09375
P3,2085,3102,258.5,193.875,16.15625
P3,2086,2216,184.66666666666666,138.5,11.541666666666666
P3,2087,2284,190.33333333333334,142.75,11.895833333333334
P3,2088,2745,228.75,171.5625,14.296875
P3,2089,4382,365.1666666666667,273.875,22.822916666666668
P3,2090,3034,252.83333333333334,189.625,15.802083333333334
P3,2091,3025,252.08333333333334,189.0625,15.755208333333334
P3,2092,4725,393.75,295.3125,24.609375
P3,2093,2518,209.83333333333334,157.375,13.114583333333334
P3,2094,3122,260.1666666666667,195.125,16.260416666666668
P3,2095,3009,250.75,188.0625,15.671875
P3,2096,1843,153.58333333333334,115.1875,9.598958333333334
P3,2097,1986,165.5,124.125,10.34375
P3,2098,1586,132.16666666666666,99.125,8.260416666666666
P3,2099,3694,307.8333333333333,230.875,19.239583333333332
P3,2100,3647,303.9166666666667,227.9375,18.994791666666668
